customer_id,customer_name,gender,age,city,signup_date
C00001,Aryan Maharaj,Male,19,Gurugram,2023-07-23
C00002,Liam Chaudry,Male,32,Noida,2025-05-24
C00003,Pahal Balay,Male,61,Delhi,2022-08-23
C00004,Tejas Kaul,Female,20,Delhi,2024-08-31
C00005,Rushil Saini,Male,31,Noida,2023-06-15
C00006,Arunima Ahuja,Male,53,Noida,2025-09-28
C00007,Pahal Oak,Female,32,Ghaziabad,2023-09-12
C00008,Tanveer Nayar,Female,18,Noida,2022-12-13
C00009,Lajita Chatterjee,Female,39,Gurugram,2024-01-16
C00010,Aishani Bassi,Male,31,Gurugram,2025-08-14
C00011,Jeet Radhakrishnan,Male,23,Ghaziabad,2022-11-07
C00012,Janaki Handa,Male,40,Gurugram,2025-07-06
C00013,Chakradev Kari,Female,20,Ghaziabad,2025-10-20
C00014,Fariq Kaul,Male,42,Delhi,2026-03-15
C00015,Lajita Mall,Female,58,Gurugram,2024-06-11
C00016,Nicholas Prabhakar,Male,63,Delhi,2024-01-10
C00017,Amara Bora,Male,60,Noida,2025-02-08
C00018,Yash Gade,Female,23,Noida,2024-06-25
C00019,Anamika Kanda,Male,42,Gurugram,2025-06-05
C00020,Daksh Karnik,Female,58,Gurugram,2026-01-04
C00021,Diya Rattan,Male,41,Gurugram,2023-08-27
C00022,Siddharth Murty,Male,60,Gurugram,2023-06-03
C00023,Meghana Shanker,Male,56,Noida,2023-02-14
C00024,Liam Koshy,Male,28,Ghaziabad,2025-09-07
C00025,Priya Rastogi,Female,35,Noida,2024-01-21
C00026,Lakshit Upadhyay,Female,21,Noida,2024-08-12
C00027,Champak Choudhary,Male,38,Ghaziabad,2023-03-02
C00028,Pahal Bhatt,Female,22,Noida,2024-02-25
C00029,Upadhriti Wadhwa,Female,31,Ghaziabad,2023-08-02
C00030,Ishwar Yadav,Female,59,Ghaziabad,2025-09-16
C00031,Harini Choudhury,Male,34,Noida,2023-10-06
C00032,Nakul Setty,Male,65,Gurugram,2022-07-13
C00033,Xiti Gokhale,Female,55,Ghaziabad,2024-09-03
C00034,Chanchal Tripathi,Female,32,Noida,2025-02-08
C00035,Michael Prakash,Female,23,Delhi,2025-10-04
C00036,Aadi Naik,Male,27,Noida,2024-08-05
C00037,Isaac Patil,Female,56,Delhi,2026-04-03
C00038,Wriddhish Bhardwaj,Female,42,Ghaziabad,2023-07-17
C00039,Frederick Sunder,Female,53,Delhi,2025-12-26
C00040,Jeremiah Dave,Male,61,Gurugram,2025-04-27
C00041,Noah Lanka,Female,25,Gurugram,2024-10-04
C00042,Siddharth Zacharia,Female,28,Ghaziabad,2025-09-23
C00043,Devika Rastogi,Male,64,Gurugram,2025-05-16
C00044,Raksha Varughese,Male,50,Delhi,2024-06-08
C00045,Yug Kar,Female,58,Noida,2022-10-15
C00046,Ansh Karpe,Male,41,Noida,2025-01-07
C00047,Abhimanyu Bobal,Male,56,Gurugram,2025-07-11
C00048,Veer Bir,Female,19,Delhi,2026-05-14
C00049,Ganga Bobal,Female,37,Noida,2024-09-13
C00050,Arya Sunder,Male,33,Delhi,2023-06-05
C00051,Urvashi Kibe,Male,64,Ghaziabad,2025-11-07
C00052,Niharika Gupta,Male,52,Noida,2022-12-01
C00053,Raagini Pandya,Male,60,Ghaziabad,2024-04-26
C00054,Unni Bhagat,Male,34,Ghaziabad,2025-05-19
C00055,Darsh Rau,Male,52,Noida,2025-08-12
C00056,Ikbal Kothari,Female,43,Gurugram,2023-05-01
C00057,Saumya Dey,Female,51,Ghaziabad,2024-04-23
C00058,Arya Shere,Male,33,Noida,2023-07-31
C00059,Saanvi Chaudhari,Male,39,Delhi,2022-09-24
C00060,Girik Khalsa,Male,55,Noida,2023-03-23
C00061,Vedika Srivastava,Male,22,Delhi,2023-06-05
C00062,Daniel Gala,Male,22,Delhi,2024-02-16
C00063,Madhavi Lanka,Female,22,Noida,2026-06-16
C00064,Bhavika Sampath,Female,60,Ghaziabad,2025-06-24
C00065,Mohammed Gupta,Male,52,Noida,2023-10-11
C00066,Dalbir Bhat,Female,33,Ghaziabad,2025-09-11
C00067,Dakshesh Bedi,Female,30,Delhi,2024-12-31
C00068,Yadavi Wali,Male,60,Ghaziabad,2023-03-09
C00069,Yashoda Buch,Female,45,Ghaziabad,2026-02-19
C00070,Ekapad Bir,Female,64,Delhi,2025-05-21
C00071,Netra Dar,Male,21,Ghaziabad,2026-04-21
C00072,Balveer Bumb,Female,24,Noida,2024-04-19
C00073,Advika Jayaraman,Male,30,Ghaziabad,2025-05-13
C00074,William Lanka,Male,45,Noida,2024-03-13
C00075,Charita Shankar,Female,47,Noida,2023-11-11
C00076,Aditya Shanker,Male,46,Delhi,2025-02-26
C00077,Ethan Yogi,Male,59,Delhi,2023-06-04
C00078,Kevin Palla,Male,33,Noida,2026-04-06
C00079,Yash Pingle,Female,49,Ghaziabad,2023-09-23
C00080,Raksha Mittal,Male,43,Delhi,2025-02-12
C00081,Chandani Chawla,Male,42,Delhi,2026-07-05
C00082,Aishani D’Alia,Female,34,Ghaziabad,2026-04-20
C00083,Nachiket Magar,Female,45,Ghaziabad,2023-09-18
C00084,Hemal Jani,Male,30,Gurugram,2025-06-09
C00085,Yashasvi Suresh,Male,21,Delhi,2023-08-02
C00086,George Sampath,Female,21,Delhi,2026-01-16
C00087,Chaitanya Aggarwal,Female,50,Noida,2023-12-08
C00088,Adweta Edwin,Male,50,Delhi,2025-09-01
C00089,Prisha Andra,Male,22,Delhi,2022-12-28
C00090,Manthan Banik,Male,43,Delhi,2026-01-24
C00091,Manbir Sani,Male,55,Delhi,2023-01-21
C00092,Darika Patla,Male,44,Gurugram,2026-05-04
C00093,Ishita Kade,Female,31,Gurugram,2025-06-01
C00094,Harshil Pandya,Male,34,Ghaziabad,2025-10-31
C00095,Mohammed Khalsa,Male,60,Gurugram,2026-03-12
C00096,Peter Sachar,Female,38,Delhi,2022-08-15
C00097,Gaurangi Sabharwal,Male,47,Delhi,2025-12-05
