customer_id,customer_name,total_trips,total_spent,avg_rating
C00001,"Aryan Maharaj",7,2311.1,4.1
C00002,"Liam Chaudry",5,2756,3.82
C00003,"Pahal Balay",4,3561,3.7
C00004,"Tejas Kaul",5,1885.5,3.72
C00005,"Rushil Saini",8,4552.5,3.8
C00006,"Arunima Ahuja",6,4435.75,3.88
C00009,"Lajita Chatterjee",8,7840.5,3.97
C00010,"Aishani Bassi",12,6932.7,3.88
C00011,"Jeet Radhakrishnan",9,4915.2,4.1
C00012,"Janaki Handa",4,1532.5,3.45
C00013,"Chakradev Kari",7,3717.75,3.96
C00014,"Fariq Kaul",10,6453,3.99
C00017,"Amara Bora",9,4991.7,4.09
C00018,"Yash Gade",8,4193.75,4.15
C00019,"Anamika Kanda",10,6534.75,3.74
C00020,"Daksh Karnik",5,3110.7,3.74
C00021,"Diya Rattan",10,4288.75,3.81
C00022,"Siddharth Murty",10,3441.8,4.29
C00023,"Meghana Shanker",7,3910.45,4.23
C00024,"Liam Koshy",7,3326.6,4.17
C00026,"Lakshit Upadhyay",11,7312.75,4.05
C00027,"Champak Choudhary",8,5589.85,3.95
C00028,"Pahal Bhatt",11,5557.9,3.78
C00030,"Ishwar Yadav",7,2772,3.74
C00031,"Harini Choudhury",8,5002.6,4.16
C00033,"Xiti Gokhale",7,2620.2999999999997,3.89
C00034,"Chanchal Tripathi",13,5504,4.28
C00035,"Michael Prakash",11,6509.4,3.81
C00037,"Isaac Patil",11,5678.3,3.94
C00038,"Wriddhish Bhardwaj",6,2640.15,3.15
C00040,"Jeremiah Dave",11,6418.65,3.7
C00041,"Noah Lanka",7,4274,4.23
C00043,"Devika Rastogi",10,6193.6,3.64
C00044,"Raksha Varughese",9,4332.5,3.92
C00048,"Veer Bir",4,3002.5,4.4
C00050,"Arya Sunder",7,3160.7,3.34
C00051,"Urvashi Kibe",8,3998.55,3.44
C00053,"Raagini Pandya",9,3809.3999999999996,4.42
C00056,"Ikbal Kothari",6,2965.3,3.2
